Nome_Estabelecimento,Place_ID_Estabelecimento,Endereço_Estabelecimento,Residência Parceira,Categoria,Busca_Tipo,Busca_Keyword,Latitude_Estabelecimento,Longitude_Estabelecimento,Tipos_API
Academia Smart Fit - Tambaú,ChIJQdkuwX7drAcRG1kMXjjy8iU,"Av. Monsenhor Odilon Coutinho, 128 - Cabo Branco, João Pessoa",Edifício Next Towers,Lazer/Fitness,gym,academia,-7.1246503,-34.8249413,"['gym', 'health', 'point_of_interest', 'establishment']"
Praça Alliance,ChIJlZWMHoXDrAcRrEZQLcH28mM,"Lot. Jardim Bela Vista, João Pessoa",Edifício Next Towers,Lazer/Fitness,gym,academia,-7.1339131,-34.8261157,"['gym', 'health', 'point_of_interest', 'establishment']"
Nature Balance,ChIJa-r5mhLdrAcRLPNAgvhDZPQ,"R. Bancário Elias Feliciano Madruga, 709 - Altiplano Cabo Branco, João Pessoa",Edifício Next Towers,Lazer/Fitness,gym,academia,-7.1325642,-34.8316947,"['gym', 'health', 'point_of_interest', 'establishment']"
Sky Restô Restaurante,ChIJARMBEUDDrAcRWLqBPwF8cm8,"R. Maria das Dores Souza, 58046-095 - Altiplano Cabo Branco, João Pessoa",Edifício Next Towers,Alimentação,restaurant,restaurante,-7.129987700000001,-34.8273488,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Jardim Cabo Branco,ChIJLVxPM9PCrAcRZPbIZ8N9VTA,"Av. Maria Elizabeth, 225 - Cabo Branco, João Pessoa",Edifício Next Towers,Alimentação,restaurant,restaurante,-7.126707499999999,-34.825563,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Taipa Restaurante,ChIJTfPkUOPdrAcRZ9oORL_6QPE,"Av. Buarque, 210 - Cabo Branco, João Pessoa",Edifício Next Towers,Alimentação,restaurant,restaurante,-7.1254408,-34.825897,"['restaurant', 'food', 'point_of_interest', 'establishment']"
JOHN'S Grill Wine Salad,ChIJkzef8avDrAcRPKVFuePuP9c,"R. Ana Guedes De Vasconcelos, 81 - LOJA 07A e 07B - Altiplano Cabo Branco, João Pessoa",Edifício Next Towers,Alimentação,restaurant,restaurante,-7.1297687,-34.8269027,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Drogasil,ChIJi42TD6LdrAcRz5RMmOAJxtg,"R. Antônio de Souza Leão, 234 - Jardim Oceania, João Pessoa",Manoá Residence,Saúde,pharmacy,farmácia,-7.0836923,-34.8396932,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']"
Farmácia Francy,ChIJowKedOrdrAcR74pTsEHlG7o,"R. Francisco Leocádio Ribeiro Coutinho, 55 - Bessa, João Pessoa",Manoá Residence,Saúde,pharmacy,farmácia,-7.084378300000001,-34.8402045,"['pharmacy', 'drugstore', 'health', 'store', 'point_of_interest', 'establishment']"
Vila Animal Clínica Veterinária 24 horas,ChIJOQfpehAVjy8Rca8x1SIN5Lw,"R. Bacharel José de Oliveira Curchatuz, 66 - Bessa, João Pessoa",Manoá Residence,Saúde,pharmacy,farmácia,-7.0878356,-34.8388962,"['veterinary_care', 'pharmacy', 'health', 'store', 'point_of_interest', 'establishment']"
Aluguel,ChIJcfXmdwDdrAcRDZWD5eTwFpA,"R. Dep. Antônio de Pádua Carvalho, 156 - Aeroclube, João Pessoa",Manoá Residence,Saúde,pharmacy,farmácia,-7.085188,-34.8401354,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']"
Dermatologia e Ultrassonografia Veterinária 24h,ChIJJ9VLMJAzWpMRi56DJsFGrck,"R. Bacharel José de Oliveira Curchatuz, 66 - Jardim Oceania, João Pessoa",Manoá Residence,Saúde,pharmacy,farmácia,-7.0878356,-34.8388962,"['pet_store', 'veterinary_care', 'pharmacy', 'health', 'store', 'point_of_interest', 'establishment']"
Farmácia Pague Menos,ChIJAfmobqDdrAcRrAVklFQjVyc,"R. Bacharel José de Oliveira Curchatuz, 20 - Jardim Oceania, João Pessoa",Manoá Residence,Saúde,pharmacy,farmácia,-7.0883105,-34.8387138,"['pharmacy', 'drugstore', 'health', 'store', 'point_of_interest', 'establishment']"
Farmácia Pague Menos,ChIJf4pt4aHdrAcRxQjyc0qwGjM,"R. Dep. Antônio de Pádua Carvalho, 17 - Aeroclube, João Pessoa",Manoá Residence,Saúde,pharmacy,farmácia,-7.0855846,-34.840293,"['pharmacy', 'drugstore', 'health', 'store', 'point_of_interest', 'establishment']"
Farmácia Pague Menos,ChIJyx4eMwDdrAcRHXTqdyziXWA,"Rua Francisco Leocário, Ribeiro Coutinho, s/n - Aeroclube, João Pessoa",Manoá Residence,Saúde,pharmacy,farmácia,-7.085079899999999,-34.8435881,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']"
Linda Farma,ChIJl4S3DUzdrAcRoCyHpIwZNhY,"R. Francisco Leocádio Ribeiro Coutinho, 630 - lj 101 - Aeroclube, João Pessoa",Manoá Residence,Saúde,pharmacy,farmácia,-7.084434,-34.8456158,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']"
redepharma fl 60,ChIJgaS1JADdrAcRXMF145ouoAU,"R. Geraldo Marquês Azevedo, 293 - Aeroclube, João Pessoa",Manoá Residence,Saúde,pharmacy,farmácia,-7.084810999999999,-34.842805,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']"
EMEIEF EM TEMPO INTEGRAL FREI ALBINO,ChIJQ5Wj7ebdrAcRO6vE9fShLNA,"R. João Batista de Menezes, 245 - Jardim Oceania, João Pessoa",Manoá Residence,Educação,school,escola,-7.083316399999999,-34.8397906,"['primary_school', 'school', 'point_of_interest', 'establishment']"
Colégio Meta II,ChIJv1GBK6PdrAcRtyyWOoKqr2I,"R. José Ferreira Ramos, 35 - Jardim Oceania, João Pessoa",Manoá Residence,Educação,school,escola,-7.0805019,-34.8373713,"['school', 'point_of_interest', 'establishment']"
Exato Colégio e Cursos,ChIJ2ZDXW5ndrAcRegkkOjYMEdQ,"R. Agente Fiscal Amadeu de Castro, 313 - Aeroclube, João Pessoa",Manoá Residence,Educação,school,escola,-7.083406399999999,-34.8456825,"['school', 'point_of_interest', 'establishment']"
College Goal Kids,ChIJ4V7brpjdrAcRbnjT5LLPlVI,"R. Francisco Leocádio Ribeiro Coutinho, 60 - Aeroclube, João Pessoa",Manoá Residence,Educação,school,escola,-7.084308999999999,-34.8402409,"['school', 'point_of_interest', 'establishment']"
Faculdade de Ensino Superior da Paraíba,ChIJt_m5pXLdrAcRN1sBU3DvoHQ,"R. Francisco Leocádio Ribeiro Coutinho, 68 - Aeroclube, João Pessoa",Manoá Residence,Educação,university,universidade,-7.0839934,-34.8407009,"['university', 'point_of_interest', 'establishment']"
